"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.979237030E-1,-8.000000380E-3,-9.499999881E-2,-1.319999993E-1,1.628281290E-1
3.028902420E-1,3.200000152E-2,-9.499999881E-2,-1.319999993E-1,1.657498105E-1
3.078570250E-1,-2.199999988E-2,-3.999999911E-2,-1.319999993E-1,1.396710411E-1
3.128237940E-1,-8.000000380E-3,-1.220000014E-1,3.099999949E-2,1.261308856E-1
3.177904860E-1,-1.999999955E-2,-1.650000066E-1,1.700000092E-2,1.670748400E-1
3.227569340E-1,4.699999839E-2,-5.400000140E-2,-5.000000075E-2,8.732124641E-2
3.277237030E-1,3.299999982E-2,-8.100000024E-2,-3.599999845E-2,9.458329617E-2
3.326902420E-1,-7.000000216E-3,-8.100000024E-2,-7.699999958E-2,1.119776762E-1
3.376570110E-1,-1.899999939E-2,-8.900000155E-2,-1.589999944E-1,1.832020701E-1
3.426237800E-1,7.000000216E-3,-8.799999952E-2,-9.099999815E-2,1.267832780E-1
3.475904430E-1,-4.999999888E-3,-8.799999952E-2,-1.049999967E-1,1.370912077E-1
3.525569820E-1,-3.299999982E-2,-8.799999952E-2,-8.999999613E-3,9.441398147E-2
3.575236740E-1,-8.100000024E-2,-8.200000226E-2,-9.099999815E-2,1.468536689E-1
3.624904240E-1,-5.400000140E-2,-9.499999881E-2,-1.589999944E-1,1.929300343E-1
3.674569630E-1,-5.400000140E-2,-6.800000370E-2,-3.700000048E-2,9.438750282E-2
3.724236550E-1,-3.999999911E-2,0.000000000E0,-1.319999993E-1,1.379275163E-1
3.773904080E-1,2.500000037E-2,-3.799999878E-2,-8.999999613E-3,4.636809160E-2
3.823571780E-1,-9.700000286E-2,-6.499999762E-2,-1.049999967E-1,1.570318425E-1
3.873237210E-1,2.500000037E-2,-9.999999776E-3,-3.700000048E-2,4.576024529E-2
3.922904140E-1,-4.199999943E-2,-5.099999905E-2,-1.319999993E-1,1.476109741E-1
3.972571830E-1,1.099999994E-2,-3.500000015E-2,-6.400000304E-2,7.376991527E-2
4.022236150E-1,-7.000000030E-2,4.600000009E-2,-1.459999979E-1,1.683211200E-1
4.071903850E-1,-2.000000095E-3,-3.500000015E-2,-5.000000075E-2,6.106553926E-2
4.121571540E-1,1.059999987E-1,-7.000000216E-3,-5.000000075E-2,1.174095388E-1
4.171237060E-1,3.500000015E-2,-5.799999833E-2,-1.589999944E-1,1.728293900E-1
4.220903990E-1,2.099999972E-2,5.099999905E-2,-1.860000044E-1,1.940051585E-1
4.270571880E-1,-3.299999982E-2,-7.100000232E-2,-1.049999967E-1,1.309770958E-1
4.320236490E-1,3.500000015E-2,9.999999776E-3,-1.049999967E-1,1.111305508E-1
4.369904190E-1,-4.300000146E-2,3.500000015E-2,-2.300000004E-2,6.002499594E-2
4.419572020E-1,-7.000000030E-2,-4.600000009E-2,-1.589999944E-1,1.797136563E-1
4.469239710E-1,3.799999878E-2,-7.400000095E-2,-1.049999967E-1,1.339589465E-1
4.518905100E-1,-2.899999917E-2,-4.600000009E-2,-6.400000304E-2,8.398214304E-2
4.568569900E-1,-3.999999911E-2,-1.070000008E-1,3.000000026E-3,1.142716067E-1
4.618237590E-1,0.000000000E0,-9.300000221E-2,-7.800000161E-2,1.213795727E-1
4.667904670E-1,0.000000000E0,-2.400000021E-2,2.999999933E-2,3.841874503E-2
4.717572360E-1,-1.200000010E-2,-9.200000018E-2,-1.589999944E-1,1.840896473E-1
4.767240050E-1,-2.400000021E-2,-3.500000015E-2,-1.049999967E-1,1.132519286E-1
4.816905530E-1,4.300000146E-2,-8.000000380E-3,-7.800000161E-2,8.942594916E-2
4.866572450E-1,1.600000076E-2,4.999999888E-3,-7.800000161E-2,7.978095183E-2
4.916237830E-1,2.000000095E-3,4.600000009E-2,-1.870000064E-1,1.925850524E-1
4.965905390E-1,2.000000095E-3,4.000000190E-3,3.000000026E-3,5.385164998E-3
5.015572310E-1,1.499999966E-2,-4.899999872E-2,-5.000000075E-2,7.159608885E-2
5.065237780E-1,-6.499999762E-2,-2.199999988E-2,-1.729999930E-1,1.861128616E-1
5.114905480E-1,-2.500000037E-2,-3.500000015E-2,-1.319999993E-1,1.388308317E-1
5.164572400E-1,-6.100000069E-2,-3.299999982E-2,-7.800000161E-2,1.043743279E-1
5.214237740E-1,6.000000052E-3,-6.000000052E-3,-2.300000004E-2,2.451530141E-2
5.263905430E-1,-6.000000052E-3,-1.899999939E-2,-1.319999993E-1,1.334953175E-1
5.313573120E-1,-1.010000035E-1,-7.400000095E-2,-1.049999967E-1,1.634074667E-1
5.363237940E-1,-6.000000052E-3,-4.300000146E-2,-1.049999967E-1,1.136221785E-1
