"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.297893270E-1,2.619999945E-1,1.480000019E-1,-2.440000027E-1,3.874067617E-1
4.347560960E-1,1.669999957E-1,-1.000000047E-3,-1.080000028E-1,1.988818724E-1
4.397228700E-1,9.200000018E-2,4.899999872E-2,4.100000113E-2,1.120089282E-1
4.446896400E-1,1.599999964E-1,4.899999872E-2,-1.300000027E-2,1.678392050E-1
4.496561780E-1,1.729999930E-1,-7.299999893E-2,-1.490000039E-1,2.397060671E-1
4.546229660E-1,1.870000064E-1,3.500000015E-2,-1.220000014E-1,2.260044308E-1
4.595897360E-1,5.999999866E-2,3.200000152E-2,-1.080000028E-1,1.276244512E-1
4.645565050E-1,1.819999963E-1,-8.000000380E-3,-9.399999678E-2,2.049975562E-1
4.695231870E-1,1.410000026E-1,5.900000036E-2,-1.759999990E-1,2.331051275E-1
4.744900330E-1,1.550000012E-1,8.699999750E-2,5.499999970E-2,1.860618174E-1
4.794567410E-1,1.059999987E-1,-3.299999982E-2,0.000000000E0,1.110180153E-1
4.844235100E-1,2.140000015E-1,7.000000216E-3,-6.700000167E-2,2.243524034E-1
4.893902790E-1,1.599999964E-1,7.000000216E-3,-1.200000010E-2,1.606019890E-1
4.943568130E-1,1.190000027E-1,7.000000216E-3,-6.700000167E-2,1.367442901E-1
4.993238130E-1,1.749999970E-1,-1.799999923E-2,-1.080000028E-1,2.064291635E-1
5.042903510E-1,9.200000018E-2,2.300000004E-2,-6.700000167E-2,1.161120160E-1
5.092571250E-1,6.400000304E-2,3.599999845E-2,-1.200000010E-2,7.440430283E-2
5.142238950E-1,1.599999964E-1,-4.000000190E-3,-3.999999911E-2,1.649727213E-1
5.191906590E-1,1.110000014E-1,-1.600000076E-2,1.400000043E-2,1.130176993E-1
5.241574280E-1,8.299999684E-2,3.799999878E-2,-1.200000010E-2,9.207062173E-2
5.291241200E-1,1.099999994E-1,3.700000048E-2,1.400000043E-2,1.168973905E-1
5.340909770E-1,9.700000286E-2,-5.700000003E-2,2.800000086E-2,1.159396421E-1
5.390576690E-1,9.000000358E-2,-2.800000086E-2,-1.070000008E-1,1.425938318E-1
5.440244380E-1,7.599999756E-2,3.999999911E-2,-9.399999678E-2,1.273263482E-1
5.489912070E-1,1.710000038E-1,1.209999993E-1,5.499999970E-2,2.165802417E-1
5.539579770E-1,6.199999899E-2,5.299999937E-2,-6.700000167E-2,1.055556727E-1
5.589247790E-1,7.000000030E-2,5.000000075E-2,-7.999999821E-2,1.174734005E-1
5.638913170E-1,9.700000286E-2,4.899999872E-2,2.800000086E-2,1.122229944E-1
5.688583170E-1,9.700000286E-2,-4.500000179E-2,-1.070000008E-1,1.512712824E-1
5.738248650E-1,7.000000030E-2,4.899999872E-2,1.000000047E-3,8.545174028E-2
5.787916340E-1,1.410000026E-1,1.480000019E-1,-1.070000008E-1,2.307249477E-1
5.837584030E-1,5.900000036E-2,-2.000000095E-3,-9.300000221E-2,1.101544391E-1
5.887251580E-1,1.129999980E-1,2.400000021E-2,-5.299999937E-2,1.270983851E-1
5.936919280E-1,1.700000092E-2,2.400000021E-2,1.000000047E-3,2.942787864E-2
5.986586250E-1,9.200000018E-2,8.999999613E-3,-1.340000033E-1,1.627912802E-1
6.036253940E-1,9.200000018E-2,2.300000004E-2,-1.209999993E-1,1.537335353E-1
6.085921640E-1,7.800000161E-2,7.699999958E-2,-6.599999964E-2,1.279413934E-1
6.135589570E-1,1.059999987E-1,8.999999613E-3,-1.609999985E-1,1.929714985E-1
6.185257260E-1,9.799999744E-2,4.699999839E-2,-1.199999973E-1,1.619042887E-1
6.234924950E-1,9.799999744E-2,6.000000052E-3,-3.900000080E-2,1.056456320E-1
6.284590340E-1,9.799999744E-2,3.299999982E-2,-5.200000107E-2,1.157454085E-1
6.334260340E-1,2.999999933E-2,8.699999750E-2,1.499999966E-2,9.324161900E-2
6.383925570E-1,1.169999987E-1,4.999999888E-3,-9.300000221E-2,1.495426364E-1
6.433593260E-1,8.799999952E-2,1.899999939E-2,1.499999966E-2,9.126883303E-2
6.483260960E-1,8.799999952E-2,-2.099999972E-2,-9.300000221E-2,1.297459067E-1
6.532928510E-1,7.000000216E-3,-3.500000015E-2,-1.340000033E-1,1.386722788E-1
6.582595430E-1,5.700000003E-2,6.800000370E-2,-1.879999936E-1,2.078869839E-1
6.632263130E-1,-1.099999994E-2,2.700000070E-2,-1.609999985E-1,1.636184572E-1
6.681931410E-1,7.000000030E-2,1.300000027E-2,-1.070000008E-1,1.285223724E-1
6.731598330E-1,8.399999887E-2,9.499999881E-2,-5.200000107E-2,1.370583806E-1
6.781266250E-1,2.000000095E-3,-3.700000048E-2,1.499999966E-2,3.997499250E-2
