"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.422797830E-1,-1.600000076E-2,1.369999945E-1,-2.300000004E-2,1.398356125E-1
3.472463320E-1,-7.000000030E-2,1.770000011E-1,-9.099999815E-2,2.109739322E-1
3.522130240E-1,5.999999866E-2,1.529999971E-1,-2.000000030E-1,2.588609668E-1
3.571797930E-1,-7.000000216E-3,7.000000030E-2,-1.180000007E-1,1.373790385E-1
3.621463510E-1,-2.099999972E-2,1.650000066E-1,-2.000000030E-1,2.601268985E-1
3.671130430E-1,-1.030000001E-1,1.519999951E-1,-6.400000304E-2,1.944453623E-1
3.720795680E-1,-7.000000216E-3,1.289999932E-1,-3.700000048E-2,1.343837724E-1
3.770463370E-1,1.899999939E-2,7.400000095E-2,-1.459999979E-1,1.647816722E-1
3.820127990E-1,-7.000000216E-3,1.140000001E-1,-3.700000048E-2,1.200583194E-1
3.869795970E-1,3.299999982E-2,7.400000095E-2,-5.000000075E-2,9.521029463E-2
3.919462890E-1,-8.299999684E-2,6.899999827E-2,-3.700000048E-2,1.141008294E-1
3.969130580E-1,-6.899999827E-2,9.600000083E-2,-2.300000004E-2,1.204408565E-1
4.018795340E-1,-5.499999970E-2,8.200000226E-2,-6.400000304E-2,1.176647812E-1
4.068463030E-1,-1.400000043E-2,1.089999974E-1,-7.800000161E-2,1.347627534E-1
4.118128370E-1,1.099999994E-2,6.400000304E-2,-1.049999967E-1,1.234584938E-1
4.167795290E-1,-2.000000095E-3,1.180000007E-1,-9.999999776E-3,1.184398589E-1
4.217462980E-1,-2.899999917E-2,5.000000075E-2,-7.800000161E-2,9.708244062E-2
4.267128230E-1,-4.199999943E-2,9.099999815E-2,-6.400000304E-2,1.189159367E-1
4.316795150E-1,4.800000042E-2,3.400000185E-2,-3.700000048E-2,6.949100806E-2
4.366460530E-1,7.000000216E-3,7.400000095E-2,-5.099999905E-2,9.014432898E-2
4.416128320E-1,7.000000216E-3,7.400000095E-2,-9.999999776E-3,7.500000093E-2
4.465792930E-1,6.199999899E-2,8.799999952E-2,-3.700000048E-2,1.138288181E-1
4.515460480E-1,-4.999999888E-3,6.899999827E-2,-1.049999967E-1,1.257417952E-1
4.565127410E-1,-5.999999866E-2,5.499999970E-2,-1.459999979E-1,1.671556137E-1
