"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.338169280E-1,-1.099999994E-2,-5.999999866E-2,-5.000000075E-2,7.887331559E-2
4.387842360E-1,5.600000173E-2,-1.899999939E-2,2.999999933E-2,6.630987958E-2
4.437513130E-1,2.700000070E-2,-4.399999976E-2,-1.589999944E-1,1.671705663E-1
4.487184720E-1,3.999999911E-2,-4.399999976E-2,-1.319999993E-1,1.447756876E-1
4.536857790E-1,2.600000054E-2,-7.100000232E-2,-1.049999967E-1,1.293908794E-1
4.586528560E-1,3.999999911E-2,9.999999776E-3,-7.800000161E-2,8.822698099E-2
4.636199200E-1,1.200000010E-2,-1.169999987E-1,-9.099999815E-2,1.487077650E-1
4.685873050E-1,3.900000080E-2,3.299999982E-2,-7.800000161E-2,9.324162323E-2
4.735543950E-1,-2.800000086E-2,-6.100000069E-2,-1.049999967E-1,1.246194184E-1
4.785214720E-1,5.299999937E-2,-1.159999967E-1,-7.800000161E-2,1.494958174E-1
4.834886260E-1,-1.000000047E-3,-1.080000028E-1,-6.400000304E-2,1.255428253E-1
4.884559280E-1,9.300000221E-2,2.800000086E-2,-6.400000304E-2,1.163142332E-1
4.934230050E-1,1.200000010E-2,1.000000047E-3,-2.400000021E-2,2.685144340E-2
4.983901590E-1,-6.899999827E-2,1.400000043E-2,-1.599999964E-1,1.748056024E-1
5.033572230E-1,-1.000000047E-3,-4.899999872E-2,-7.800000161E-2,9.211948830E-2
5.083246080E-1,7.999999821E-2,4.000000190E-3,-2.400000021E-2,8.361817820E-2
5.132916940E-1,5.200000107E-2,3.200000152E-2,-1.599999964E-1,1.712541943E-1
5.182590010E-1,2.500000037E-2,5.900000036E-2,-7.800000161E-2,1.009455314E-1
5.232260780E-1,-5.200000107E-2,4.000000190E-3,-6.499999762E-2,8.333666542E-2
5.281932230E-1,4.300000146E-2,4.500000179E-2,-9.999999776E-3,6.303967229E-2
5.331603000E-1,1.600000076E-2,-7.699999958E-2,-9.200000018E-2,1.210330533E-1
5.381276080E-1,2.899999917E-2,-8.000000380E-3,-9.200000018E-2,9.679359478E-2
5.430947470E-1,5.299999937E-2,4.000000190E-3,-3.700000048E-2,6.476109921E-2
5.480620540E-1,-1.000000047E-3,5.799999833E-2,-7.800000161E-2,9.720596719E-2
5.530288860E-1,-1.000000047E-3,4.000000190E-3,7.100000232E-2,7.111961988E-2
5.579961940E-1,7.999999821E-2,-5.000000075E-2,-1.330000013E-1,1.630613386E-1
5.629632710E-1,-1.400000043E-2,-4.699999839E-2,-9.200000018E-2,1.042544958E-1
5.679304100E-1,5.400000140E-2,4.800000042E-2,-1.599999964E-1,1.755562561E-1
5.728977180E-1,8.100000024E-2,-1.010000035E-1,-7.800000161E-2,1.511489365E-1
5.778648710E-1,5.400000140E-2,-5.999999866E-2,-6.499999762E-2,1.036387943E-1
5.828319580E-1,-1.300000027E-2,-1.799999923E-2,-1.599999964E-1,1.615332747E-1
5.877990350E-1,-5.299999937E-2,-4.000000190E-3,-1.190000027E-1,1.303303518E-1
5.927664340E-1,5.499999970E-2,-4.000000190E-3,-9.999999776E-3,5.604462476E-2
5.977337420E-1,2.700000070E-2,-7.199999690E-2,-1.599999964E-1,1.775190087E-1
6.027005880E-1,1.300000027E-2,-1.700000092E-2,-9.200000018E-2,9.445633950E-2
6.076678770E-1,1.220000014E-1,9.999999776E-3,-5.099999905E-2,1.326084471E-1
6.126350300E-1,5.400000140E-2,9.999999776E-3,-7.800000161E-2,9.539392223E-2
6.176023380E-1,3.999999911E-2,-3.000000026E-3,-1.459999979E-1,1.514100370E-1
6.225694290E-1,5.000000075E-2,-6.599999964E-2,-1.459999979E-1,1.678451650E-1
6.275365830E-1,4.899999872E-2,-2.500000037E-2,-1.059999987E-1,1.194236142E-1
6.325036650E-1,-1.799999923E-2,-1.099999994E-2,-1.059999987E-1,1.080786737E-1
6.374709730E-1,-4.500000179E-2,-2.500000037E-2,-1.059999987E-1,1.178388727E-1
6.424381260E-1,3.299999982E-2,6.499999762E-2,-5.099999905E-2,8.896628339E-2
6.474054580E-1,1.150000021E-1,-3.000000026E-3,-1.190000027E-1,1.655143533E-1
6.523725350E-1,1.899999939E-2,3.700000048E-2,-1.870000064E-1,1.915698369E-1
6.573396120E-1,3.299999982E-2,9.999999776E-3,1.600000076E-2,3.801315572E-2
6.623067710E-1,-1.899999939E-2,3.500000015E-2,-2.400000021E-2,4.649731172E-2
6.672740790E-1,-8.699999750E-2,-1.899999939E-2,-1.049999967E-1,1.376771544E-1
6.722412130E-1,-4.999999888E-3,-4.600000009E-2,-5.099999905E-2,6.886218055E-2
6.772082900E-1,8.900000155E-2,-7.400000095E-2,-1.049999967E-1,1.562753971E-1
6.821755980E-1,5.799999833E-2,-5.600000173E-2,-1.330000013E-1,1.555281336E-1
6.871427370E-1,4.300000146E-2,-1.000000047E-3,-7.800000161E-2,8.907300588E-2
6.921098140E-1,-2.400000021E-2,1.099999994E-2,1.600000076E-2,3.087069862E-2
6.970768910E-1,2.000000095E-3,9.300000221E-2,-1.049999967E-1,1.402782938E-1
7.020441890E-1,5.299999937E-2,-5.200000107E-2,-6.499999762E-2,9.868130388E-2
7.070112660E-1,6.599999964E-2,2.000000095E-3,-1.049999967E-1,1.240362820E-1
7.119784200E-1,5.299999937E-2,-3.799999878E-2,-7.800000161E-2,1.016710386E-1
7.169457280E-1,1.200000010E-2,2.899999917E-2,-5.099999905E-2,5.988321849E-2
7.219128820E-1,3.599999845E-2,1.000000047E-3,-1.739999950E-1,1.776879235E-1
7.268799680E-1,5.000000075E-2,2.800000086E-2,-2.400000021E-2,6.212889934E-2
7.318472750E-1,-3.099999949E-2,-3.900000080E-2,-1.330000013E-1,1.420246471E-1
7.368143520E-1,-4.000000190E-3,-1.099999994E-2,-5.099999905E-2,5.232590088E-2
7.417815110E-1,8.500000089E-2,2.700000070E-2,3.000000026E-3,8.923564417E-2
7.467485880E-1,5.700000003E-2,2.600000054E-2,-5.099999905E-2,8.078366131E-2
7.517159870E-1,2.999999933E-2,6.700000167E-2,-1.049999967E-1,1.281171319E-1
7.566830640E-1,-3.799999878E-2,-4.100000113E-2,-7.800000161E-2,9.596353605E-2
7.616503710E-1,2.700000070E-2,2.400000021E-2,-1.319999993E-1,1.368539362E-1
7.666174340E-1,9.499999881E-2,2.400000021E-2,1.600000076E-2,9.928242447E-2
7.715845880E-1,1.400000043E-2,-2.000000095E-3,-1.049999967E-1,1.059480973E-1
7.765519300E-1,2.700000070E-2,3.799999878E-2,-3.700000048E-2,5.951470390E-2
7.815190070E-1,3.799999878E-2,-1.499999966E-2,-5.099999905E-2,6.534523548E-2
7.864861610E-1,6.499999762E-2,3.900000080E-2,-5.099999905E-2,9.136191578E-2
7.914532230E-1,-2.000000095E-3,-5.499999970E-2,-9.200000018E-2,1.072054103E-1
7.964203000E-1,9.999999776E-3,1.200000010E-2,-1.190000027E-1,1.200208342E-1
8.013876070E-1,8.999999613E-3,-3.900000080E-2,-1.049999967E-1,1.123699220E-1
8.063547470E-1,7.699999958E-2,1.499999966E-2,-1.049999967E-1,1.310686814E-1
8.113220550E-1,6.400000304E-2,-6.599999964E-2,-1.049999967E-1,1.395600217E-1
8.162892090E-1,-3.000000026E-3,-2.500000037E-2,-3.700000048E-2,4.475488861E-2
8.212563000E-1,-3.000000026E-3,1.000000047E-3,-2.400000021E-2,2.420743709E-2
