"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.355321500E-1,3.500000015E-2,5.099999905E-2,4.000000190E-3,6.198386818E-2
4.404997790E-1,-7.299999893E-2,1.099999994E-2,1.809999943E-1,1.954763356E-1
4.454669330E-1,-6.800000370E-2,-3.999999911E-2,4.399999976E-2,9.033272059E-2
4.504343180E-1,-5.400000140E-2,-5.400000140E-2,-2.129999995E-1,2.262763799E-1
4.554019090E-1,-3.999999911E-2,-3.999999911E-2,-2.000000030E-1,2.078460994E-1
4.603692940E-1,-5.400000140E-2,0.000000000E0,-2.269999981E-1,2.333345223E-1
4.653367080E-1,-1.200000010E-2,-2.400000021E-2,-3.599999845E-2,4.489988754E-2
4.703040920E-1,8.200000226E-2,-7.900000364E-2,5.799999833E-2,1.277849786E-1
4.752714770E-1,-5.299999937E-2,5.700000003E-2,-3.599999845E-2,8.575546528E-2
4.802389470E-1,1.400000043E-2,2.000000095E-3,4.399999976E-2,4.621687994E-2
4.852062550E-1,-2.400000021E-2,2.000000095E-3,5.799999833E-2,6.280127241E-2
4.901736400E-1,-6.499999762E-2,5.600000173E-2,-1.860000044E-1,2.048340829E-1
4.951410530E-1,-6.499999762E-2,5.600000173E-2,-5.000000075E-2,9.930256773E-2
5.001084380E-1,-3.700000048E-2,2.000000095E-3,-1.860000044E-1,1.896549543E-1
5.050758380E-1,3.999999911E-2,2.700000070E-2,-1.860000044E-1,1.921587927E-1
5.100432220E-1,-4.100000113E-2,8.100000024E-2,1.809999943E-1,2.024919704E-1
5.150106840E-1,-4.100000113E-2,-2.700000070E-2,-7.699999958E-2,9.131812562E-2
5.199780200E-1,-2.700000070E-2,0.000000000E0,-8.999999613E-3,2.846049948E-2
5.249454040E-1,-3.799999878E-2,6.300000101E-2,3.099999949E-2,7.983733465E-2
5.299128660E-1,2.000000095E-3,8.000000380E-3,-1.180000007E-1,1.182877854E-1
5.348801540E-1,-6.499999762E-2,-4.999999888E-3,1.120000035E-1,1.295916682E-1
5.398475390E-1,-9.999999776E-3,-3.200000152E-2,-1.589999944E-1,1.624961486E-1
5.448150110E-1,-8.600000292E-2,5.799999833E-2,-7.699999958E-2,1.291859135E-1
5.497823950E-1,8.999999613E-3,3.099999949E-2,-8.999999613E-3,3.351119148E-2
5.547497800E-1,-8.500000089E-2,-6.400000304E-2,-1.319999993E-1,1.695435058E-1
5.597171730E-1,2.300000004E-2,-2.300000004E-2,-1.589999944E-1,1.622929395E-1
5.646845580E-1,-7.999999821E-2,3.000000026E-3,7.199999690E-2,1.076707912E-1
5.696519430E-1,1.499999966E-2,-7.699999958E-2,4.399999976E-2,8.994442676E-2
5.746192900E-1,-5.200000107E-2,3.099999949E-2,-3.599999845E-2,7.043436639E-2
5.795866750E-1,2.000000095E-3,-5.000000075E-2,-1.589999944E-1,1.666883268E-1
5.845540600E-1,3.999999911E-2,2.800000086E-2,-3.599999845E-2,6.066300244E-2
5.895214440E-1,-8.200000226E-2,1.400000043E-2,-1.040000021E-1,1.331765776E-1
5.944888290E-1,2.600000054E-2,2.800000086E-2,-1.180000007E-1,1.240322549E-1
5.994562030E-1,-6.800000370E-2,-5.299999937E-2,-7.699999958E-2,1.155941191E-1
6.044235880E-1,-3.799999878E-2,2.600000054E-2,-7.699999958E-2,8.971621855E-2
6.093909730E-1,-2.500000037E-2,-6.899999827E-2,1.700000092E-2,7.533259462E-2
6.143583570E-1,-6.499999762E-2,0.000000000E0,3.000000026E-3,6.506919156E-2
6.193259730E-1,-3.799999878E-2,3.999999911E-2,-6.400000304E-2,8.449852203E-2
6.242933620E-1,-2.300000004E-2,-7.699999958E-2,-1.860000044E-1,2.026178708E-1
6.292605160E-1,-3.700000048E-2,4.999999888E-3,-9.099999815E-2,9.836157633E-2
6.342279010E-1,-2.300000004E-2,7.299999893E-2,-1.049999967E-1,1.299345957E-1
6.391952890E-1,3.000000026E-3,-6.199999899E-2,-6.400000304E-2,8.915716608E-2
6.441626740E-1,-5.999999866E-2,4.000000190E-3,3.099999949E-2,6.765352769E-2
6.491302900E-1,-4.500000179E-2,1.799999923E-2,-2.300000004E-2,5.364699558E-2
6.540976700E-1,-4.500000179E-2,1.799999923E-2,-7.699999958E-2,9.098351537E-2
6.590648240E-1,4.899999872E-2,-8.000000380E-3,-1.729999930E-1,1.799833255E-1
6.640324480E-1,7.000000216E-3,-8.000000380E-3,-1.319999993E-1,1.324273379E-1
