"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.297848380E-1,-2.800000086E-2,3.500000015E-2,-2.199999988E-2,4.992995147E-2
4.347519250E-1,2.600000054E-2,-1.799999923E-2,-1.040000021E-1,1.087014280E-1
4.397193090E-1,3.700000048E-2,7.000000216E-3,4.000000190E-3,3.786819298E-2
4.446866170E-1,5.000000075E-2,-4.999999888E-3,-1.040000021E-1,1.155032490E-1
4.496536740E-1,-5.799999833E-2,3.500000015E-2,-1.309999973E-1,1.474788090E-1
4.546208280E-1,-2.999999933E-2,-4.600000009E-2,1.799999923E-2,5.779273259E-2
4.595881390E-1,3.400000185E-2,-4.999999888E-3,-3.599999845E-2,4.976946868E-2
4.645552930E-1,7.500000298E-2,2.099999972E-2,-6.300000101E-2,1.001748500E-1
4.695226010E-1,3.400000185E-2,-3.200000152E-2,-1.180000007E-1,1.269015382E-1
4.744897510E-1,1.999999955E-2,-4.999999888E-3,-9.000000358E-2,9.233092995E-2
4.794571350E-1,-1.799999923E-2,5.799999833E-2,-3.599999845E-2,7.059744802E-2
4.844242120E-1,-3.200000152E-2,-5.000000075E-2,-7.699999958E-2,9.722654014E-2
4.893915240E-1,-4.000000190E-3,3.000000026E-3,-7.699999958E-2,7.716216649E-2
4.943586780E-1,-3.200000152E-2,-9.999999776E-3,-9.000000358E-2,9.604166146E-2
4.993257700E-1,4.600000009E-2,1.499999966E-2,-2.199999988E-2,5.315072900E-2
5.042931540E-1,-8.000000380E-3,-2.500000037E-2,-3.599999845E-2,4.455333784E-2
5.092604420E-1,-3.500000015E-2,-1.099999994E-2,4.000000190E-3,3.690528432E-2
5.142275960E-1,-2.199999988E-2,5.600000173E-2,1.799999923E-2,6.280127515E-2
5.191946730E-1,-7.000000216E-3,3.900000080E-2,-6.300000101E-2,7.442445965E-2
5.241620680E-1,-6.199999899E-2,-1.400000043E-2,-4.899999872E-2,8.025583942E-2
5.291293750E-1,-3.500000015E-2,-2.800000086E-2,-1.169999987E-1,1.252916587E-1
5.340964520E-1,4.999999888E-3,1.200000010E-2,-1.439999938E-1,1.445856086E-1
5.390636060E-1,-3.200000152E-2,-2.600000054E-2,-1.040000021E-1,1.118749327E-1
5.440308660E-1,-3.200000152E-2,-5.299999937E-2,-7.599999756E-2,9.802550515E-2
5.489980200E-1,4.899999872E-2,6.800000370E-2,-3.599999845E-2,9.121951691E-2
5.539653510E-1,-4.600000009E-2,-2.600000054E-2,-2.199999988E-2,5.723635235E-2
5.589325050E-1,-1.059999987E-1,-6.300000101E-2,1.799999923E-2,1.246154077E-1
5.638998130E-1,-9.999999776E-3,-3.500000015E-2,-6.300000101E-2,7.275987997E-2
5.688669620E-1,1.600000076E-2,-7.000000216E-3,-1.860000044E-1,1.868180978E-1
5.738342690E-1,-6.499999762E-2,4.999999888E-3,-1.040000021E-1,1.227436358E-1
5.788014280E-1,-4.800000042E-2,-7.000000216E-3,-1.040000021E-1,1.147562656E-1
5.837685050E-1,-7.000000216E-3,-6.199999899E-2,-7.699999958E-2,9.910600291E-2
5.887358130E-1,4.699999839E-2,-1.570000052E-1,-8.999999613E-3,1.641310497E-1
5.937029480E-1,3.299999982E-2,-4.800000042E-2,-2.199999988E-2,6.226556049E-2
5.986703320E-1,3.099999949E-2,-5.700000003E-2,-8.999999613E-3,6.550572467E-2
6.036374090E-1,3.099999949E-2,9.200000018E-2,-6.300000101E-2,1.157324506E-1
6.086047740E-1,-8.999999613E-3,5.099999905E-2,-1.309999973E-1,1.408651809E-1
6.135718510E-1,-5.000000075E-2,6.499999762E-2,-7.699999958E-2,1.124899982E-1
6.185391590E-1,-4.699999839E-2,2.199999988E-2,-1.309999973E-1,1.409042197E-1
6.235063130E-1,-5.999999866E-2,6.300000101E-2,-1.180000007E-1,1.466049117E-1
